zip,mean_household_income,income_bracket
01068,127609,Upper Middle Income ($100k-$200k)
01069,99002,Middle Income ($50k-$100k)
01070,92089,Middle Income ($50k-$100k)
01071,129612,Upper Middle Income ($100k-$200k)
01072,127902,Upper Middle Income ($100k-$200k)
01073,155705,Upper Middle Income ($100k-$200k)
01074,104931,Upper Middle Income ($100k-$200k)
01075,128917,Upper Middle Income ($100k-$200k)
01077,126511,Upper Middle Income ($100k-$200k)
01079,86168,Middle Income ($50k-$100k)
01080,107909,Upper Middle Income ($100k-$200k)
01081,107858,Upper Middle Income ($100k-$200k)
01082,86946,Middle Income ($50k-$100k)
01083,82067,Middle Income ($50k-$100k)
01084,125385,Upper Middle Income ($100k-$200k)
01085,106643,Upper Middle Income ($100k-$200k)
01088,97050,Middle Income ($50k-$100k)
01089,91821,Middle Income ($50k-$100k)
01092,90051,Middle Income ($50k-$100k)
01093,119790,Upper Middle Income ($100k-$200k)
01094,107277,Upper Middle Income ($100k-$200k)
01095,157642,Upper Middle Income ($100k-$200k)
01096,137320,Upper Middle Income ($100k-$200k)
01097,62185,Middle Income ($50k-$100k)
01098,114313,Upper Middle Income ($100k-$200k)
01103,49620,Low Income (<$50k)
01104,68161,Middle Income ($50k-$100k)
01105,41483,Low Income (<$50k)
01106,189047,Upper Middle Income ($100k-$200k)
01107,64376,Middle Income ($50k-$100k)
01108,68517,Middle Income ($50k-$100k)
01109,67419,Middle Income ($50k-$100k)
01118,98636,Middle Income ($50k-$100k)
01119,78919,Middle Income ($50k-$100k)
01128,118789,Upper Middle Income ($100k-$200k)
01129,105544,Upper Middle Income ($100k-$200k)
01144,-,Unknown
01151,69477,Middle Income ($50k-$100k)
01201,98600,Middle Income ($50k-$100k)
01220,73048,Middle Income ($50k-$100k)
01222,87327,Middle Income ($50k-$100k)
01223,121660,Upper Middle Income ($100k-$200k)
01224,107035,Upper Middle Income ($100k-$200k)
01225,92932,Middle Income ($50k-$100k)
01226,104612,Upper Middle Income ($100k-$200k)
01229,195028,Upper Middle Income ($100k-$200k)
01230,136459,Upper Middle Income ($100k-$200k)
01235,93752,Middle Income ($50k-$100k)
01236,150479,Upper Middle Income ($100k-$200k)
01237,108140,Upper Middle Income ($100k-$200k)
01238,109313,Upper Middle Income ($100k-$200k)
01240,123603,Upper Middle Income ($100k-$200k)
01242,-,Unknown
01243,131724,Upper Middle Income ($100k-$200k)
01244,129382,Upper Middle Income ($100k-$200k)
01245,199258,Upper Middle Income ($100k-$200k)
01247,78740,Middle Income ($50k-$100k)
01253,138812,Upper Middle Income ($100k-$200k)
01254,183156,Upper Middle Income ($100k-$200k)
01255,114535,Upper Middle Income ($100k-$200k)
01256,90484,Middle Income ($50k-$100k)
01257,150018,Upper Middle Income ($100k-$200k)
01258,140245,Upper Middle Income ($100k-$200k)
01259,178821,Upper Middle Income ($100k-$200k)
01260,N,Unknown
01262,210920,High Income (>$200k)
01264,184522,Upper Middle Income ($100k-$200k)
01266,183274,Upper Middle Income ($100k-$200k)
01267,147252,Upper Middle Income ($100k-$200k)
01270,166927,Upper Middle Income ($100k-$200k)
01301,75600,Middle Income ($50k-$100k)
01330,97919,Middle Income ($50k-$100k)
01331,88708,Middle Income ($50k-$100k)
01337,101604,Upper Middle Income ($100k-$200k)
01338,67084,Middle Income ($50k-$100k)
01339,97426,Middle Income ($50k-$100k)
01340,100417,Upper Middle Income ($100k-$200k)
01341,125730,Upper Middle Income ($100k-$200k)
01342,138139,Upper Middle Income ($100k-$200k)
01343,91331,Middle Income ($50k-$100k)
01344,101375,Upper Middle Income ($100k-$200k)
01346,133817,Upper Middle Income ($100k-$200k)
01347,94106,Middle Income ($50k-$100k)
01349,76136,Middle Income ($50k-$100k)
01350,113914,Upper Middle Income ($100k-$200k)
01351,101753,Upper Middle Income ($100k-$200k)
01354,108872,Upper Middle Income ($100k-$200k)
01355,99833,Middle Income ($50k-$100k)
01360,116341,Upper Middle Income ($100k-$200k)
01364,74890,Middle Income ($50k-$100k)
01366,121960,Upper Middle Income ($100k-$200k)
01367,97271,Middle Income ($50k-$100k)
01368,109215,Upper Middle Income ($100k-$200k)
01370,92673,Middle Income ($50k-$100k)
01373,127431,Upper Middle Income ($100k-$200k)
01375,81810,Middle Income ($50k-$100k)
01376,75532,Middle Income ($50k-$100k)
01378,105528,Upper Middle Income ($100k-$200k)
01379,86380,Middle Income ($50k-$100k)
01380,111353,Upper Middle Income ($100k-$200k)
01420,92098,Middle Income ($50k-$100k)
01430,126917,Upper Middle Income ($100k-$200k)
01431,146173,Upper Middle Income ($100k-$200k)
01432,138309,Upper Middle Income ($100k-$200k)
01434,157197,Upper Middle Income ($100k-$200k)
01436,92775,Middle Income ($50k-$100k)
01438,86087,Middle Income ($50k-$100k)
01440,87021,Middle Income ($50k-$100k)
01450,232069,High Income (>$200k)
01451,275566,High Income (>$200k)
01452,132401,Upper Middle Income ($100k-$200k)
01453,110319,Upper Middle Income ($100k-$200k)
01460,178243,Upper Middle Income ($100k-$200k)
01462,133275,Upper Middle Income ($100k-$200k)
01463,146809,Upper Middle Income ($100k-$200k)
01464,149622,Upper Middle Income ($100k-$200k)
01468,120676,Upper Middle Income ($100k-$200k)
01469,124199,Upper Middle Income ($100k-$200k)
01473,139437,Upper Middle Income ($100k-$200k)
01474,141272,Upper Middle Income ($100k-$200k)
01475,97418,Middle Income ($50k-$100k)
01501,131020,Upper Middle Income ($100k-$200k)
01503,140614,Upper Middle Income ($100k-$200k)
01504,116690,Upper Middle Income ($100k-$200k)
01505,179271,Upper Middle Income ($100k-$200k)
01506,112103,Upper Middle Income ($100k-$200k)
01507,144400,Upper Middle Income ($100k-$200k)
01510,105647,Upper Middle Income ($100k-$200k)
01515,104872,Upper Middle Income ($100k-$200k)
01516,163125,Upper Middle Income ($100k-$200k)
01518,148512,Upper Middle Income ($100k-$200k)
01519,195118,Upper Middle Income ($100k-$200k)
01520,162703,Upper Middle Income ($100k-$200k)
01521,108546,Upper Middle Income ($100k-$200k)
01522,130069,Upper Middle Income ($100k-$200k)
01523,148162,Upper Middle Income ($100k-$200k)
01524,119803,Upper Middle Income ($100k-$200k)
01525,-,Unknown
01527,137729,Upper Middle Income ($100k-$200k)
01529,132541,Upper Middle Income ($100k-$200k)
01531,113614,Upper Middle Income ($100k-$200k)
01532,208169,High Income (>$200k)
01534,166054,Upper Middle Income ($100k-$200k)
01535,109084,Upper Middle Income ($100k-$200k)
01536,141913,Upper Middle Income ($100k-$200k)
01537,102646,Upper Middle Income ($100k-$200k)
01540,121186,Upper Middle Income ($100k-$200k)
01541,205855,High Income (>$200k)
01542,115505,Upper Middle Income ($100k-$200k)
01543,151995,Upper Middle Income ($100k-$200k)
01545,178886,Upper Middle Income ($100k-$200k)
01550,82288,Middle Income ($50k-$100k)
01560,144523,Upper Middle Income ($100k-$200k)
01561,-,Unknown
01562,102158,Upper Middle Income ($100k-$200k)
01564,165108,Upper Middle Income ($100k-$200k)
01566,153228,Upper Middle Income ($100k-$200k)
01568,186352,Upper Middle Income ($100k-$200k)
01569,140950,Upper Middle Income ($100k-$200k)
01570,97150,Middle Income ($50k-$100k)
01571,98867,Middle Income ($50k-$100k)
01581,181202,Upper Middle Income ($100k-$200k)
01583,136376,Upper Middle Income ($100k-$200k)
01585,112321,Upper Middle Income ($100k-$200k)
01588,120747,Upper Middle Income ($100k-$200k)
01590,176933,Upper Middle Income ($100k-$200k)
01602,116644,Upper Middle Income ($100k-$200k)
01603,85679,Middle Income ($50k-$100k)
01604,95037,Middle Income ($50k-$100k)
01605,80473,Middle Income ($50k-$100k)
01606,114904,Upper Middle Income ($100k-$200k)
01607,103129,Upper Middle Income ($100k-$200k)
01608,58648,Middle Income ($50k-$100k)
01609,106014,Upper Middle Income ($100k-$200k)
01610,69874,Middle Income ($50k-$100k)
01611,123133,Upper Middle Income ($100k-$200k)
01612,160373,Upper Middle Income ($100k-$200k)
01701,172595,Upper Middle Income ($100k-$200k)
01702,121501,Upper Middle Income ($100k-$200k)
01718,142047,Upper Middle Income ($100k-$200k)
01719,179600,Upper Middle Income ($100k-$200k)
