zip,mean_household_income,income_bracket
10964,196081,Upper Middle Income ($100k-$200k)
10965,161318,Upper Middle Income ($100k-$200k)
10968,218697,High Income (>$200k)
10969,133513,Upper Middle Income ($100k-$200k)
10970,141638,Upper Middle Income ($100k-$200k)
10973,143149,Upper Middle Income ($100k-$200k)
10974,150268,Upper Middle Income ($100k-$200k)
10975,74830,Middle Income ($50k-$100k)
10976,106564,Upper Middle Income ($100k-$200k)
10977,106120,Upper Middle Income ($100k-$200k)
10979,N,Unknown
10980,142637,Upper Middle Income ($100k-$200k)
10983,186569,Upper Middle Income ($100k-$200k)
10984,139915,Upper Middle Income ($100k-$200k)
10985,N,Unknown
10986,156217,Upper Middle Income ($100k-$200k)
10987,312750,High Income (>$200k)
10988,167438,Upper Middle Income ($100k-$200k)
10989,171524,Upper Middle Income ($100k-$200k)
10990,161117,Upper Middle Income ($100k-$200k)
10992,138813,Upper Middle Income ($100k-$200k)
10993,90302,Middle Income ($50k-$100k)
10994,190398,Upper Middle Income ($100k-$200k)
10996,152949,Upper Middle Income ($100k-$200k)
10998,162242,Upper Middle Income ($100k-$200k)
11001,184858,Upper Middle Income ($100k-$200k)
11003,147954,Upper Middle Income ($100k-$200k)
11004,133942,Upper Middle Income ($100k-$200k)
11005,305544,High Income (>$200k)
11010,157996,Upper Middle Income ($100k-$200k)
11020,235243,High Income (>$200k)
11021,201354,High Income (>$200k)
11023,195376,Upper Middle Income ($100k-$200k)
11024,257376,High Income (>$200k)
11030,377242,High Income (>$200k)
11040,195405,Upper Middle Income ($100k-$200k)
11042,-,Unknown
11050,240672,High Income (>$200k)
11096,132336,Upper Middle Income ($100k-$200k)
11101,167356,Upper Middle Income ($100k-$200k)
11102,128119,Upper Middle Income ($100k-$200k)
11103,139076,Upper Middle Income ($100k-$200k)
11104,107190,Upper Middle Income ($100k-$200k)
11105,131981,Upper Middle Income ($100k-$200k)
11106,112087,Upper Middle Income ($100k-$200k)
11109,249103,High Income (>$200k)
11201,249394,High Income (>$200k)
11203,90203,Middle Income ($50k-$100k)
11204,92943,Middle Income ($50k-$100k)
11205,141870,Upper Middle Income ($100k-$200k)
11206,93331,Middle Income ($50k-$100k)
11207,76883,Middle Income ($50k-$100k)
11208,86123,Middle Income ($50k-$100k)
11209,130125,Upper Middle Income ($100k-$200k)
11210,117398,Upper Middle Income ($100k-$200k)
11211,159714,Upper Middle Income ($100k-$200k)
11212,58982,Middle Income ($50k-$100k)
11213,92746,Middle Income ($50k-$100k)
11214,99108,Middle Income ($50k-$100k)
11215,249651,High Income (>$200k)
11216,136276,Upper Middle Income ($100k-$200k)
11217,236496,High Income (>$200k)
11218,155509,Upper Middle Income ($100k-$200k)
11219,87329,Middle Income ($50k-$100k)
11220,94026,Middle Income ($50k-$100k)
11221,115390,Upper Middle Income ($100k-$200k)
11222,158860,Upper Middle Income ($100k-$200k)
11223,93517,Middle Income ($50k-$100k)
11224,73780,Middle Income ($50k-$100k)
11225,116611,Upper Middle Income ($100k-$200k)
11226,110684,Upper Middle Income ($100k-$200k)
11228,122999,Upper Middle Income ($100k-$200k)
11229,103555,Upper Middle Income ($100k-$200k)
11230,98477,Middle Income ($50k-$100k)
11231,230224,High Income (>$200k)
11232,126677,Upper Middle Income ($100k-$200k)
11233,89455,Middle Income ($50k-$100k)
11234,129201,Upper Middle Income ($100k-$200k)
11235,91465,Middle Income ($50k-$100k)
11236,103837,Upper Middle Income ($100k-$200k)
11237,106516,Upper Middle Income ($100k-$200k)
11238,186562,Upper Middle Income ($100k-$200k)
11239,63659,Middle Income ($50k-$100k)
11249,203314,High Income (>$200k)
11354,93432,Middle Income ($50k-$100k)
11355,78978,Middle Income ($50k-$100k)
11356,108146,Upper Middle Income ($100k-$200k)
11357,133300,Upper Middle Income ($100k-$200k)
11358,117156,Upper Middle Income ($100k-$200k)
11359,-,Unknown
11360,131523,Upper Middle Income ($100k-$200k)
11361,128645,Upper Middle Income ($100k-$200k)
11362,142566,Upper Middle Income ($100k-$200k)
11363,179426,Upper Middle Income ($100k-$200k)
11364,124681,Upper Middle Income ($100k-$200k)
11365,109754,Upper Middle Income ($100k-$200k)
11366,148182,Upper Middle Income ($100k-$200k)
11367,100645,Upper Middle Income ($100k-$200k)
11368,90216,Middle Income ($50k-$100k)
11369,97766,Middle Income ($50k-$100k)
11370,98965,Middle Income ($50k-$100k)
11371,-,Unknown
11372,112006,Upper Middle Income ($100k-$200k)
11373,91598,Middle Income ($50k-$100k)
11374,116891,Upper Middle Income ($100k-$200k)
11375,147217,Upper Middle Income ($100k-$200k)
11377,102790,Upper Middle Income ($100k-$200k)
11378,111662,Upper Middle Income ($100k-$200k)
11379,120711,Upper Middle Income ($100k-$200k)
11385,112750,Upper Middle Income ($100k-$200k)
11411,133008,Upper Middle Income ($100k-$200k)
11412,117112,Upper Middle Income ($100k-$200k)
11413,131598,Upper Middle Income ($100k-$200k)
11414,127868,Upper Middle Income ($100k-$200k)
11415,126336,Upper Middle Income ($100k-$200k)
11416,114681,Upper Middle Income ($100k-$200k)
11417,116610,Upper Middle Income ($100k-$200k)
11418,110027,Upper Middle Income ($100k-$200k)
11419,119086,Upper Middle Income ($100k-$200k)
11420,126349,Upper Middle Income ($100k-$200k)
11421,119059,Upper Middle Income ($100k-$200k)
11422,137641,Upper Middle Income ($100k-$200k)
11423,107235,Upper Middle Income ($100k-$200k)
11424,-,Unknown
11426,126919,Upper Middle Income ($100k-$200k)
11427,116870,Upper Middle Income ($100k-$200k)
11428,118751,Upper Middle Income ($100k-$200k)
11429,122711,Upper Middle Income ($100k-$200k)
11430,-,Unknown
11432,103887,Upper Middle Income ($100k-$200k)
11433,98598,Middle Income ($50k-$100k)
11434,104931,Upper Middle Income ($100k-$200k)
11435,99862,Middle Income ($50k-$100k)
11436,115552,Upper Middle Income ($100k-$200k)
11439,-,Unknown
11451,-,Unknown
11501,166361,Upper Middle Income ($100k-$200k)
11507,206267,High Income (>$200k)
11509,260241,High Income (>$200k)
11510,169965,Upper Middle Income ($100k-$200k)
11514,187557,Upper Middle Income ($100k-$200k)
11516,142695,Upper Middle Income ($100k-$200k)
11518,166737,Upper Middle Income ($100k-$200k)
11520,144369,Upper Middle Income ($100k-$200k)
11530,282045,High Income (>$200k)
11542,127072,Upper Middle Income ($100k-$200k)
11545,324263,High Income (>$200k)
11547,154742,Upper Middle Income ($100k-$200k)
11548,217080,High Income (>$200k)
11549,-,Unknown
11550,117932,Upper Middle Income ($100k-$200k)
11552,171231,Upper Middle Income ($100k-$200k)
11553,143520,Upper Middle Income ($100k-$200k)
11554,167941,Upper Middle Income ($100k-$200k)
11556,-,Unknown
11557,225294,High Income (>$200k)
11558,137674,Upper Middle Income ($100k-$200k)
11559,248606,High Income (>$200k)
11560,331454,High Income (>$200k)
11561,170142,Upper Middle Income ($100k-$200k)
11563,183495,Upper Middle Income ($100k-$200k)
11565,179892,Upper Middle Income ($100k-$200k)
11566,207920,High Income (>$200k)
11568,559134,High Income (>$200k)
11569,110910,Upper Middle Income ($100k-$200k)
11570,206167,High Income (>$200k)
11572,177842,Upper Middle Income ($100k-$200k)
11575,153473,Upper Middle Income ($100k-$200k)
11576,300404,High Income (>$200k)
11577,263004,High Income (>$200k)
11579,279873,High Income (>$200k)
11580,158090,Upper Middle Income ($100k-$200k)
11581,162581,Upper Middle Income ($100k-$200k)
11590,189375,Upper Middle Income ($100k-$200k)
11596,193782,Upper Middle Income ($100k-$200k)
11598,250047,High Income (>$200k)
11691,83121,Middle Income ($50k-$100k)
11692,87050,Middle Income ($50k-$100k)
11693,93702,Middle Income ($50k-$100k)
11694,139307,Upper Middle Income ($100k-$200k)
11697,150670,Upper Middle Income ($100k-$200k)
11701,150763,Upper Middle Income ($100k-$200k)
11702,174459,Upper Middle Income ($100k-$200k)
11703,149009,Upper Middle Income ($100k-$200k)
11704,154346,Upper Middle Income ($100k-$200k)
11705,192616,Upper Middle Income ($100k-$200k)
11706,142084,Upper Middle Income ($100k-$200k)
11709,187458,Upper Middle Income ($100k-$200k)
11710,206171,High Income (>$200k)
11713,142274,Upper Middle Income ($100k-$200k)
11714,144117,Upper Middle Income ($100k-$200k)
11715,159122,Upper Middle Income ($100k-$200k)
11716,148695,Upper Middle Income ($100k-$200k)
11718,239636,High Income (>$200k)
11719,161471,Upper Middle Income ($100k-$200k)
11720,156169,Upper Middle Income ($100k-$200k)
11721,284312,High Income (>$200k)
11722,131689,Upper Middle Income ($100k-$200k)
11724,335710,High Income (>$200k)
11725,203137,High Income (>$200k)
11726,157920,Upper Middle Income ($100k-$200k)
11727,124175,Upper Middle Income ($100k-$200k)
11729,155264,Upper Middle Income ($100k-$200k)
11730,172179,Upper Middle Income ($100k-$200k)
11731,183852,Upper Middle Income ($100k-$200k)
11732,201410,High Income (>$200k)
11733,230402,High Income (>$200k)
11735,169023,Upper Middle Income ($100k-$200k)
11738,155720,Upper Middle Income ($100k-$200k)
11739,186270,Upper Middle Income ($100k-$200k)
11740,178799,Upper Middle Income ($100k-$200k)
11741,160160,Upper Middle Income ($100k-$200k)
11742,157038,Upper Middle Income ($100k-$200k)
11743,241862,High Income (>$200k)
11746,210524,High Income (>$200k)
11747,214225,High Income (>$200k)
11749,139918,Upper Middle Income ($100k-$200k)
11751,136601,Upper Middle Income ($100k-$200k)
11752,165203,Upper Middle Income ($100k-$200k)
11753,241533,High Income (>$200k)
11754,156827,Upper Middle Income ($100k-$200k)
11755,147342,Upper Middle Income ($100k-$200k)
11756,161858,Upper Middle Income ($100k-$200k)
11757,147665,Upper Middle Income ($100k-$200k)
11758,191380,Upper Middle Income ($100k-$200k)
11762,190983,Upper Middle Income ($100k-$200k)
11763,134650,Upper Middle Income ($100k-$200k)
11764,171246,Upper Middle Income ($100k-$200k)
11765,366184,High Income (>$200k)
11766,179336,Upper Middle Income ($100k-$200k)
11767,181029,Upper Middle Income ($100k-$200k)
11768,213307,High Income (>$200k)
11769,161168,Upper Middle Income ($100k-$200k)
11770,118964,Upper Middle Income ($100k-$200k)
11771,253503,High Income (>$200k)
11772,126157,Upper Middle Income ($100k-$200k)
11776,133064,Upper Middle Income ($100k-$200k)
11777,195249,Upper Middle Income ($100k-$200k)
11778,142160,Upper Middle Income ($100k-$200k)
11779,130603,Upper Middle Income ($100k-$200k)
11780,201735,High Income (>$200k)
11782,175599,Upper Middle Income ($100k-$200k)
11783,195960,Upper Middle Income ($100k-$200k)
11784,128068,Upper Middle Income ($100k-$200k)
11786,194805,Upper Middle Income ($100k-$200k)
11787,172128,Upper Middle Income ($100k-$200k)
11788,182104,Upper Middle Income ($100k-$200k)
11789,131773,Upper Middle Income ($100k-$200k)
11790,204466,High Income (>$200k)
11791,276174,High Income (>$200k)
11792,172670,Upper Middle Income ($100k-$200k)
11793,189578,Upper Middle Income ($100k-$200k)
11794,-,Unknown
11795,205310,High Income (>$200k)
11796,188077,Upper Middle Income ($100k-$200k)
11797,269954,High Income (>$200k)
11801,173299,Upper Middle Income ($100k-$200k)
11803,221964,High Income (>$200k)
11804,233063,High Income (>$200k)
11901,106562,Upper Middle Income ($100k-$200k)
11930,226817,High Income (>$200k)
11931,N,Unknown
11932,384537,High Income (>$200k)
11933,108812,Upper Middle Income ($100k-$200k)
11934,188765,Upper Middle Income ($100k-$200k)
11935,174747,Upper Middle Income ($100k-$200k)
11937,216853,High Income (>$200k)
11939,152439,Upper Middle Income ($100k-$200k)
11940,161324,Upper Middle Income ($100k-$200k)
11941,218793,High Income (>$200k)
11942,156583,Upper Middle Income ($100k-$200k)
11944,142337,Upper Middle Income ($100k-$200k)
11946,179986,Upper Middle Income ($100k-$200k)
11947,N,Unknown
11948,143551,Upper Middle Income ($100k-$200k)
11949,170401,Upper Middle Income ($100k-$200k)
11950,130948,Upper Middle Income ($100k-$200k)
11951,113771,Upper Middle Income ($100k-$200k)
11952,183129,Upper Middle Income ($100k-$200k)
11953,104062,Upper Middle Income ($100k-$200k)
11954,250072,High Income (>$200k)
11955,91951,Middle Income ($50k-$100k)
11956,151190,Upper Middle Income ($100k-$200k)
11957,189822,Upper Middle Income ($100k-$200k)
11958,141232,Upper Middle Income ($100k-$200k)
11959,142374,Upper Middle Income ($100k-$200k)
11960,387635,High Income (>$200k)
11961,102928,Upper Middle Income ($100k-$200k)
11962,274578,High Income (>$200k)
11963,236220,High Income (>$200k)
11964,157523,Upper Middle Income ($100k-$200k)
11965,173456,Upper Middle Income ($100k-$200k)
11967,161766,Upper Middle Income ($100k-$200k)
11968,275971,High Income (>$200k)
11970,239416,High Income (>$200k)
11971,206272,High Income (>$200k)
11972,157999,Upper Middle Income ($100k-$200k)
11973,-,Unknown
11975,240193,High Income (>$200k)
11976,308328,High Income (>$200k)
11977,186843,Upper Middle Income ($100k-$200k)
11978,222068,High Income (>$200k)
11980,122927,Upper Middle Income ($100k-$200k)
12007,153625,Upper Middle Income ($100k-$200k)
12008,119884,Upper Middle Income ($100k-$200k)
12009,129391,Upper Middle Income ($100k-$200k)
12010,87617,Middle Income ($50k-$100k)
12015,124901,Upper Middle Income ($100k-$200k)
12017,167625,Upper Middle Income ($100k-$200k)
12018,155918,Upper Middle Income ($100k-$200k)
12019,151021,Upper Middle Income ($100k-$200k)
12020,127733,Upper Middle Income ($100k-$200k)
12022,110844,Upper Middle Income ($100k-$200k)
12023,128998,Upper Middle Income ($100k-$200k)
12024,101584,Upper Middle Income ($100k-$200k)
12025,103389,Upper Middle Income ($100k-$200k)
12027,136346,Upper Middle Income ($100k-$200k)
12028,106532,Upper Middle Income ($100k-$200k)
12029,130843,Upper Middle Income ($100k-$200k)
12031,95784,Middle Income ($50k-$100k)
12032,83755,Middle Income ($50k-$100k)
12033,115905,Upper Middle Income ($100k-$200k)
12035,95735,Middle Income ($50k-$100k)
12036,74775,Middle Income ($50k-$100k)
12037,111919,Upper Middle Income ($100k-$200k)
12040,52845,Middle Income ($50k-$100k)
12041,127434,Upper Middle Income ($100k-$200k)
12042,139160,Upper Middle Income ($100k-$200k)
12043,89565,Middle Income ($50k-$100k)
12045,159886,Upper Middle Income ($100k-$200k)
12046,120905,Upper Middle Income ($100k-$200k)
12047,95196,Middle Income ($50k-$100k)
12051,110916,Upper Middle Income ($100k-$200k)
12052,107604,Upper Middle Income ($100k-$200k)
12053,126422,Upper Middle Income ($100k-$200k)
12054,151657,Upper Middle Income ($100k-$200k)
12056,156655,Upper Middle Income ($100k-$200k)
12057,87248,Middle Income ($50k-$100k)
12058,92565,Middle Income ($50k-$100k)
12059,114897,Upper Middle Income ($100k-$200k)
12060,150484,Upper Middle Income ($100k-$200k)
12061,147237,Upper Middle Income ($100k-$200k)
12062,108130,Upper Middle Income ($100k-$200k)
12063,116292,Upper Middle Income ($100k-$200k)
12064,67867,Middle Income ($50k-$100k)
12065,148662,Upper Middle Income ($100k-$200k)
12066,98372,Middle Income ($50k-$100k)
12067,140538,Upper Middle Income ($100k-$200k)
12068,84992,Middle Income ($50k-$100k)
12069,132359,Upper Middle Income ($100k-$200k)
12070,106992,Upper Middle Income ($100k-$200k)
12071,118452,Upper Middle Income ($100k-$200k)
12072,102921,Upper Middle Income ($100k-$200k)
12074,108323,Upper Middle Income ($100k-$200k)
12075,148051,Upper Middle Income ($100k-$200k)
12076,100168,Upper Middle Income ($100k-$200k)
12077,148198,Upper Middle Income ($100k-$200k)
12078,73620,Middle Income ($50k-$100k)
12082,N,Unknown
12083,102209,Upper Middle Income ($100k-$200k)
12084,119096,Upper Middle Income ($100k-$200k)
12085,61827,Middle Income ($50k-$100k)
12086,77722,Middle Income ($50k-$100k)
12087,113066,Upper Middle Income ($100k-$200k)
12090,82129,Middle Income ($50k-$100k)
12092,78175,Middle Income ($50k-$100k)
12093,92655,Middle Income ($50k-$100k)
12094,120849,Upper Middle Income ($100k-$200k)
12095,82525,Middle Income ($50k-$100k)
12106,115202,Upper Middle Income ($100k-$200k)
12108,69714,Middle Income ($50k-$100k)
12110,121854,Upper Middle Income ($100k-$200k)
12115,113488,Upper Middle Income ($100k-$200k)
12116,80368,Middle Income ($50k-$100k)
12117,125051,Upper Middle Income ($100k-$200k)
12118,126800,Upper Middle Income ($100k-$200k)
12120,117109,Upper Middle Income ($100k-$200k)
12121,109303,Upper Middle Income ($100k-$200k)
12122,84240,Middle Income ($50k-$100k)
12123,134983,Upper Middle Income ($100k-$200k)
12124,94459,Middle Income ($50k-$100k)
12125,85150,Middle Income ($50k-$100k)
12130,112506,Upper Middle Income ($100k-$200k)
12131,97357,Middle Income ($50k-$100k)
12132,N,Unknown
12134,97087,Middle Income ($50k-$100k)
12136,236235,High Income (>$200k)
12137,104411,Upper Middle Income ($100k-$200k)
12138,92363,Middle Income ($50k-$100k)
12139,82366,Middle Income ($50k-$100k)
12140,136416,Upper Middle Income ($100k-$200k)
12143,112820,Upper Middle Income ($100k-$200k)
12144,103095,Upper Middle Income ($100k-$200k)
12147,100581,Upper Middle Income ($100k-$200k)
12148,195666,Upper Middle Income ($100k-$200k)
12149,69839,Middle Income ($50k-$100k)
12150,117878,Upper Middle Income ($100k-$200k)
12151,114161,Upper Middle Income ($100k-$200k)
12153,123893,Upper Middle Income ($100k-$200k)
12154,127100,Upper Middle Income ($100k-$200k)
12155,77656,Middle Income ($50k-$100k)
12156,117499,Upper Middle Income ($100k-$200k)
12157,97453,Middle Income ($50k-$100k)
12158,115435,Upper Middle Income ($100k-$200k)
12159,185461,Upper Middle Income ($100k-$200k)
12160,83306,Middle Income ($50k-$100k)
12161,115490,Upper Middle Income ($100k-$200k)
12164,78990,Middle Income ($50k-$100k)
12165,97396,Middle Income ($50k-$100k)
12166,95512,Middle Income ($50k-$100k)
12167,78073,Middle Income ($50k-$100k)
12168,138174,Upper Middle Income ($100k-$200k)
12169,73470,Middle Income ($50k-$100k)
12170,119899,Upper Middle Income ($100k-$200k)
12172,91629,Middle Income ($50k-$100k)
12173,99720,Middle Income ($50k-$100k)
12174,75659,Middle Income ($50k-$100k)
12175,85574,Middle Income ($50k-$100k)
12176,64055,Middle Income ($50k-$100k)
12177,125837,Upper Middle Income ($100k-$200k)
12180,96741,Middle Income ($50k-$100k)
12182,72549,Middle Income ($50k-$100k)
12183,92156,Middle Income ($50k-$100k)
12184,138548,Upper Middle Income ($100k-$200k)
12185,123235,Upper Middle Income ($100k-$200k)
12186,153833,Upper Middle Income ($100k-$200k)
12187,82467,Middle Income ($50k-$100k)
12188,105691,Upper Middle Income ($100k-$200k)
12189,90379,Middle Income ($50k-$100k)
12190,95814,Middle Income ($50k-$100k)
12192,106597,Upper Middle Income ($100k-$200k)
12193,120686,Upper Middle Income ($100k-$200k)
12194,92773,Middle Income ($50k-$100k)
12195,152547,Upper Middle Income ($100k-$200k)
12196,131430,Upper Middle Income ($100k-$200k)
12197,86823,Middle Income ($50k-$100k)
12198,131419,Upper Middle Income ($100k-$200k)
12202,61041,Middle Income ($50k-$100k)
12203,110518,Upper Middle Income ($100k-$200k)
12204,87444,Middle Income ($50k-$100k)
12205,104254,Upper Middle Income ($100k-$200k)
12206,56631,Middle Income ($50k-$100k)
12207,63591,Middle Income ($50k-$100k)
12208,95512,Middle Income ($50k-$100k)
12209,102666,Upper Middle Income ($100k-$200k)
12210,71995,Middle Income ($50k-$100k)
12211,222946,High Income (>$200k)
12222,127936,Upper Middle Income ($100k-$200k)
12226,-,Unknown
12302,115104,Upper Middle Income ($100k-$200k)
12303,103461,Upper Middle Income ($100k-$200k)
12304,90242,Middle Income ($50k-$100k)
12305,78561,Middle Income ($50k-$100k)
12306,97786,Middle Income ($50k-$100k)
12307,40507,Low Income (<$50k)
12308,92193,Middle Income ($50k-$100k)
12309,148766,Upper Middle Income ($100k-$200k)
12401,96148,Middle Income ($50k-$100k)
12404,131926,Upper Middle Income ($100k-$200k)
12405,106475,Upper Middle Income ($100k-$200k)
12406,128758,Upper Middle Income ($100k-$200k)
12407,94771,Middle Income ($50k-$100k)
12409,131069,Upper Middle Income ($100k-$200k)
12410,44706,Low Income (<$50k)
12411,129612,Upper Middle Income ($100k-$200k)
12412,101882,Upper Middle Income ($100k-$200k)
12413,85734,Middle Income ($50k-$100k)
12414,113111,Upper Middle Income ($100k-$200k)
12416,172775,Upper Middle Income ($100k-$200k)
12417,128805,Upper Middle Income ($100k-$200k)
12418,103460,Upper Middle Income ($100k-$200k)
12419,162831,Upper Middle Income ($100k-$200k)
12420,102232,Upper Middle Income ($100k-$200k)
12421,141134,Upper Middle Income ($100k-$200k)
12422,104093,Upper Middle Income ($100k-$200k)
12423,71585,Middle Income ($50k-$100k)
12424,77172,Middle Income ($50k-$100k)
12427,103783,Upper Middle Income ($100k-$200k)
12428,82955,Middle Income ($50k-$100k)
12429,N,Unknown
12430,98827,Middle Income ($50k-$100k)
12431,104864,Upper Middle Income ($100k-$200k)
12432,63486,Middle Income ($50k-$100k)
12433,110285,Upper Middle Income ($100k-$200k)
12434,85838,Middle Income ($50k-$100k)
12435,87310,Middle Income ($50k-$100k)
12436,100064,Upper Middle Income ($100k-$200k)
12438,70937,Middle Income ($50k-$100k)
12439,103233,Upper Middle Income ($100k-$200k)
12440,122736,Upper Middle Income ($100k-$200k)
12441,172863,Upper Middle Income ($100k-$200k)
12442,64608,Middle Income ($50k-$100k)
12443,139423,Upper Middle Income ($100k-$200k)
12444,93309,Middle Income ($50k-$100k)
12446,123556,Upper Middle Income ($100k-$200k)
12448,174127,Upper Middle Income ($100k-$200k)
12449,103968,Upper Middle Income ($100k-$200k)
12450,181708,Upper Middle Income ($100k-$200k)
12451,62374,Middle Income ($50k-$100k)
12452,N,Unknown
12453,49197,Low Income (<$50k)
12454,134995,Upper Middle Income ($100k-$200k)
12455,102659,Upper Middle Income ($100k-$200k)
12456,76664,Middle Income ($50k-$100k)
12457,155022,Upper Middle Income ($100k-$200k)
12458,74351,Middle Income ($50k-$100k)
12459,N,Unknown
12460,104047,Upper Middle Income ($100k-$200k)
12461,143335,Upper Middle Income ($100k-$200k)
12463,87790,Middle Income ($50k-$100k)
12464,83335,Middle Income ($50k-$100k)
12465,151818,Upper Middle Income ($100k-$200k)
12466,118529,Upper Middle Income ($100k-$200k)
12468,91590,Middle Income ($50k-$100k)
12469,103975,Upper Middle Income ($100k-$200k)
12470,88680,Middle Income ($50k-$100k)
12471,N,Unknown
12472,102355,Upper Middle Income ($100k-$200k)
12473,119740,Upper Middle Income ($100k-$200k)
12474,76088,Middle Income ($50k-$100k)
12475,94295,Middle Income ($50k-$100k)
12477,111868,Upper Middle Income ($100k-$200k)
12480,117488,Upper Middle Income ($100k-$200k)
12481,140794,Upper Middle Income ($100k-$200k)
12482,77302,Middle Income ($50k-$100k)
12483,N,Unknown
12484,162254,Upper Middle Income ($100k-$200k)
12485,85347,Middle Income ($50k-$100k)
12486,102184,Upper Middle Income ($100k-$200k)
12487,116839,Upper Middle Income ($100k-$200k)
12489,26737,Low Income (<$50k)
12490,-,Unknown
12491,130594,Upper Middle Income ($100k-$200k)
12492,182200,Upper Middle Income ($100k-$200k)
12493,141343,Upper Middle Income ($100k-$200k)
12494,144633,Upper Middle Income ($100k-$200k)
12495,74183,Middle Income ($50k-$100k)
12496,125228,Upper Middle Income ($100k-$200k)
12498,129132,Upper Middle Income ($100k-$200k)
12501,142924,Upper Middle Income ($100k-$200k)
12502,133410,Upper Middle Income ($100k-$200k)
12503,142957,Upper Middle Income ($100k-$200k)
12504,-,Unknown
12507,151431,Upper Middle Income ($100k-$200k)
12508,124884,Upper Middle Income ($100k-$200k)
12512,185251,Upper Middle Income ($100k-$200k)
12513,70229,Middle Income ($50k-$100k)
12514,173681,Upper Middle Income ($100k-$200k)
12515,112872,Upper Middle Income ($100k-$200k)
12516,173092,Upper Middle Income ($100k-$200k)
12517,145465,Upper Middle Income ($100k-$200k)
12518,124444,Upper Middle Income ($100k-$200k)
12520,166956,Upper Middle Income ($100k-$200k)
12521,117314,Upper Middle Income ($100k-$200k)
12522,122405,Upper Middle Income ($100k-$200k)
12523,83583,Middle Income ($50k-$100k)
12524,125584,Upper Middle Income ($100k-$200k)
12525,152814,Upper Middle Income ($100k-$200k)
12526,132251,Upper Middle Income ($100k-$200k)
12527,N,Unknown
12528,133147,Upper Middle Income ($100k-$200k)
12529,151144,Upper Middle Income ($100k-$200k)
12530,N,Unknown
12531,193016,Upper Middle Income ($100k-$200k)
12533,180764,Upper Middle Income ($100k-$200k)
12534,111351,Upper Middle Income ($100k-$200k)
12538,106318,Upper Middle Income ($100k-$200k)
12540,145570,Upper Middle Income ($100k-$200k)
12542,167085,Upper Middle Income ($100k-$200k)
12543,90892,Middle Income ($50k-$100k)
12544,N,Unknown
12545,172842,Upper Middle Income ($100k-$200k)
12546,122153,Upper Middle Income ($100k-$200k)
12547,130158,Upper Middle Income ($100k-$200k)
12548,149549,Upper Middle Income ($100k-$200k)
12549,162189,Upper Middle Income ($100k-$200k)
12550,105636,Upper Middle Income ($100k-$200k)
12553,122059,Upper Middle Income ($100k-$200k)
12561,126613,Upper Middle Income ($100k-$200k)
12563,120118,Upper Middle Income ($100k-$200k)
12564,158776,Upper Middle Income ($100k-$200k)
12565,91330,Middle Income ($50k-$100k)
12566,127320,Upper Middle Income ($100k-$200k)
12567,161743,Upper Middle Income ($100k-$200k)
12569,122226,Upper Middle Income ($100k-$200k)
12570,191512,Upper Middle Income ($100k-$200k)
12571,162070,Upper Middle Income ($100k-$200k)
12572,147841,Upper Middle Income ($100k-$200k)
12574,211712,High Income (>$200k)
12575,157015,Upper Middle Income ($100k-$200k)
12577,152986,Upper Middle Income ($100k-$200k)
12578,177467,Upper Middle Income ($100k-$200k)
12580,190410,Upper Middle Income ($100k-$200k)
12581,103420,Upper Middle Income ($100k-$200k)
12582,175772,Upper Middle Income ($100k-$200k)
12583,104381,Upper Middle Income ($100k-$200k)
12585,132270,Upper Middle Income ($100k-$200k)
12586,105225,Upper Middle Income ($100k-$200k)
12589,135980,Upper Middle Income ($100k-$200k)
12590,121971,Upper Middle Income ($100k-$200k)
12592,89264,Middle Income ($50k-$100k)
12594,136922,Upper Middle Income ($100k-$200k)
12601,101101,Upper Middle Income ($100k-$200k)
12603,130177,Upper Middle Income ($100k-$200k)
12604,N,Unknown
12701,76992,Middle Income ($50k-$100k)
12719,119965,Upper Middle Income ($100k-$200k)
12720,113322,Upper Middle Income ($100k-$200k)
12721,117339,Upper Middle Income ($100k-$200k)
12722,-,Unknown
12723,111380,Upper Middle Income ($100k-$200k)
12724,167077,Upper Middle Income ($100k-$200k)
12725,113725,Upper Middle Income ($100k-$200k)
12726,110799,Upper Middle Income ($100k-$200k)
12729,103563,Upper Middle Income ($100k-$200k)
12732,116207,Upper Middle Income ($100k-$200k)
12733,51383,Middle Income ($50k-$100k)
12734,74304,Middle Income ($50k-$100k)
12736,76911,Middle Income ($50k-$100k)
12737,104443,Upper Middle Income ($100k-$200k)
12738,147395,Upper Middle Income ($100k-$200k)
12740,132682,Upper Middle Income ($100k-$200k)
12741,82714,Middle Income ($50k-$100k)
12742,166485,Upper Middle Income ($100k-$200k)
12743,445735,High Income (>$200k)
12745,N,Unknown
12746,111131,Upper Middle Income ($100k-$200k)
12747,136062,Upper Middle Income ($100k-$200k)
12748,126640,Upper Middle Income ($100k-$200k)
12749,154892,Upper Middle Income ($100k-$200k)
12750,66784,Middle Income ($50k-$100k)
12751,79257,Middle Income ($50k-$100k)
12752,96801,Middle Income ($50k-$100k)
12754,94089,Middle Income ($50k-$100k)
12758,124303,Upper Middle Income ($100k-$200k)
12759,71807,Middle Income ($50k-$100k)
12760,99484,Middle Income ($50k-$100k)
12762,84964,Middle Income ($50k-$100k)
12763,76569,Middle Income ($50k-$100k)
12764,112310,Upper Middle Income ($100k-$200k)
12765,107559,Upper Middle Income ($100k-$200k)
